Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Tue, Jan 30, 2024",7:30p,Indiana Pacers,124,Boston Celtics,129,Box Score,,"19,156",TD Garden,
"Tue, Jan 30, 2024",7:30p,Utah Jazz,103,New York Knicks,118,Box Score,,"19,133",Madison Square Garden (IV),
"Tue, Jan 30, 2024",8:00p,Toronto Raptors,118,Chicago Bulls,107,Box Score,,"21,259",United Center,
"Tue, Jan 30, 2024",10:00p,Philadelphia 76ers,107,Golden State Warriors,119,Box Score,,"18,064",Chase Center,
"Wed, Jan 31, 2024",7:00p,Chicago Bulls,117,Charlotte Hornets,110,Box Score,,"13,712",Spectrum Center,
"Wed, Jan 31, 2024",7:00p,Detroit Pistons,121,Cleveland Cavaliers,128,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Wed, Jan 31, 2024",7:00p,Los Angeles Clippers,125,Washington Wizards,109,Box Score,,"17,201",Capital One Arena,
"Wed, Jan 31, 2024",7:30p,Sacramento Kings,106,Miami Heat,115,Box Score,,"19,6",Kaseya Center,
"Wed, Jan 31, 2024",8:00p,New Orleans Pelicans,110,Houston Rockets,99,Box Score,,"18,055",Toyota Center,
"Wed, Jan 31, 2024",8:00p,Dallas Mavericks,87,Minnesota Timberwolves,121,Box Score,,"18,024",Target Center,
"Wed, Jan 31, 2024",8:00p,Denver Nuggets,100,Oklahoma City Thunder,105,Box Score,,"16,723",Paycom Center,
"Wed, Jan 31, 2024",8:00p,Orlando Magic,108,San Antonio Spurs,98,Box Score,,"17,081",Frost Bank Center,
"Wed, Jan 31, 2024",8:30p,Phoenix Suns,136,Brooklyn Nets,120,Box Score,,"17,732",Barclays Center,
"Wed, Jan 31, 2024",10:00p,Milwaukee Bucks,116,Portland Trail Blazers,119,Box Score,,"19,335",Moda Center,
